,id,company_id,typ_id,contact_time,date,result_id
337,761,"Alusystem Jounieh
",,3,2022-12-20 00:00:00,CEVAP YOK  WP
338,762,"Alusystem Jounieh
",,4,2023-01-06 00:00:00,ŞİMDİLİK OLMUYOR
339,763,"Alusystem Jounieh
",,5,2023-01-13 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
340,764,"Alusystem Jounieh
",,6,2023-01-27 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
341,765,"Royal aluminum
",,3,2022-12-20 00:00:00,CEVAP YOK  WP
342,766,"Royal aluminum
",,4,2023-01-06 00:00:00,CEVAP YOK  WP
343,767,"Royal aluminum
",,5,2023-01-13 00:00:00,CEVAP YOK  WP
344,768,"Royal aluminum
",,6,2023-01-27 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
345,769,"Khadra Safety Glass co
",,3,2022-12-20 00:00:00,CEVAP YOK
346,770,"Khadra Safety Glass co
",,4,2023-01-06 00:00:00,SONRA ARA
347,771,"Khadra Safety Glass co
",,5,2023-01-13 00:00:00,CEVAP YOK
348,772,"Khadra Safety Glass co
",,6,2023-01-27 00:00:00,KATALOG EMİAL
349,773,"technical Aluminium and Glass
",,3,2022-12-20 00:00:00,CEVAP YOK
350,774,"technical Aluminium and Glass
",,4,2023-01-06 00:00:00,CEVAP YOK
351,775,"technical Aluminium and Glass
",,5,2023-01-13 00:00:00,CEVAP YOK
352,776,"technical Aluminium and Glass
",,6,2023-01-27 00:00:00,KATALOG EMİAL
353,777,"technical Aluminium and Glass
",,0,2023-02-21,HATIRLATMA VE SORUYA CEVAP VERME
354,778,"SHS Aluminium Windows & Doors, Kitchen Cabinets, Temper Glass & UPVC Works",,4,2022-12-20 00:00:00,CEVAP YOK  WP
355,779,"SHS Aluminium Windows & Doors, Kitchen Cabinets, Temper Glass & UPVC Works",,5,2022-12-27 00:00:00,CEVAP YOK  WP
356,780,"SHS Aluminium Windows & Doors, Kitchen Cabinets, Temper Glass & UPVC Works",,6,2023-01-05 00:00:00,CEVAP YOK  WP
357,781,"SHS Aluminium Windows & Doors, Kitchen Cabinets, Temper Glass & UPVC Works",,8,2023-01-30 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
358,782,"SHS Aluminium Windows & Doors, Kitchen Cabinets, Temper Glass & UPVC Works",,0,2023-02-20,CEVAP YOK  WP
359,783,"SHS Aluminium Windows & Doors, Kitchen Cabinets, Temper Glass & UPVC Works",,0,2023-03-09,CEVAP YOK
360,784,BAWADI,,4,2023-01-05 00:00:00,CEVAP YOK  WP
361,785,BAWADI,,5,2023-01-17 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
362,786,BAWADI,,0,2023-02-20 00:00:00,CEVAP YOK  WP
363,787,BAWADI,,0,2023-01-30 00:00:00,ZIYARETE GELEBİLİR
364,788,BAWADI,,0,2023-03-09,ZIYARETE GELEBİLİR
365,789,Abu nooh Talib hadi,,5,2022-12-20 00:00:00,CEVAP YOK  WP
366,790,Abu nooh Talib hadi,,6,2023-01-05 00:00:00,PROJE BEKLENİYOR
367,791,Abu nooh Talib hadi,,7,2023-01-17 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
368,792,Abu nooh Talib hadi,,8,2023-01-30 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
369,793,Abu nooh Talib hadi,,0,2023-02-20,HATIRLATMA VE SORUYA CEVAP VERME
370,794,Abu nooh Talib hadi,,0,2023-03-09,HATIRLATMA VE SORUYA CEVAP VERME
371,795,Majan WINDOWS,,5,2022-12-20 00:00:00,CEVAP YOK  WP
372,796,Majan WINDOWS,,6,2023-01-05 00:00:00,CEVAP YOK  WP
373,797,Majan WINDOWS,,7,2023-01-17 00:00:00,FIYAT YÜKSEK
374,798,Majan WINDOWS,,8,2023-01-30 00:00:00,CEVAP YOK  WP
375,799,Majan WINDOWS,,0,2023-02-20,HATIRLATMA VE SORUYA CEVAP VERME
376,800,Aluminum Watad,,5,2022-12-20 00:00:00,CEVAP YOK  WP
377,801,Aluminum Watad,,6,2023-01-05 00:00:00,CEVAP YOK  WP
378,802,Aluminum Watad,,7,2023-01-17 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
379,803,Aluminum Watad,,8,2023-01-30 00:00:00,ZIYARETE GELEBİLİR
380,804,Aluminum Watad,,0,2023-02-20,CEVAP YOK  WP
381,805,Aluminum Watad,,0,2023-03-09,HATIRLATMA VE SORUYA CEVAP VERME
382,806,"Modern Aluminium Services LLc.
",,5,2022-12-20 00:00:00,KATALOG WP 
383,807,"Modern Aluminium Services LLc.
",,0,2023-02-20 00:00:00,CEVAP YOK  EMAIL
384,808,"Modern Aluminium Services LLc.
",,0,2023-03-09 00:00:00,CEVAP YOK
385,809,"SUNRISE WINDOWS
",,4,2022-12-20 00:00:00,CEVAP YOK  WP
386,810,"SUNRISE WINDOWS
",,5,2023-01-05 00:00:00,CEVAP YOK  WP
387,811,"SUNRISE WINDOWS
",,6,2023-01-17 00:00:00,CEVAP YOK  WP
388,812,"SUNRISE WINDOWS
",,7,2023-01-30 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
389,813,"SUNRISE WINDOWS
",,0,2023-02-20,HATIRLATMA VE SORUYA CEVAP VERME
390,814,"SUNRISE WINDOWS
",,0,2023-03-09,HATIRLATMA VE SORUYA CEVAP VERME
391,815,"Elegant Windows
",,4,2022-12-20 00:00:00,SONRA ARA
392,816,"Elegant Windows
",,5,2023-01-05 00:00:00,CEVAP YOK  WP
393,817,"Elegant Windows
",,6,2023-01-17 00:00:00,PROJE BEKLENİYOR
394,818,"Elegant Windows
",,7,2023-01-30 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
395,819,"Elegant Windows
",,0,2023-02-20,ZIYARETE GELEBİLİR
396,820,"Aluminum Windows & Glass works
",,4,2023-01-05 00:00:00,CEVAP YOK  WP
397,821,"Aluminum Windows & Glass works
",,5,2023-01-17 00:00:00,CEVAP YOK  WP
398,822,"Aluminum Windows & Glass works
",,6,2023-01-31 00:00:00,CEVAP YOK  WP
399,823,"Aluminum Windows & Glass works
",,0,2023-02-20 00:00:00,CEVAP YOK  WP
400,824,"Ismail bin Ali Aluminium
",,2,2022-12-26 00:00:00,KATALOG EMİAL
401,825,"Ismail bin Ali Aluminium
",,3,2023-01-09 00:00:00,KATALOG EMİAL
402,826,Imad Jaafar Darwiche,,2,2022-12-23 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
403,827,El Sarma,,3,2022-12-23 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
404,828,El Sarma,,5,2023-01-06 00:00:00,CEVAP YOK  WP
405,829,El Sarma,,6,2023-01-07 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
406,830,El Sarma,,7,2023-01-13 00:00:00,CEVAP YOK
407,831,El Sarma,,8,2023-01-27 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
408,832,El Sarma,,0,2023-02-21,HATIRLATMA VE SORUYA CEVAP VERME
409,833,Aluminium Desing,,3,2022-12-23 00:00:00,CEVAP YOK  WP
410,834,Aluminium Desing,,4,2023-01-06 00:00:00,CEVAP YOK  WP
411,835,Aluminium Desing,,5,2023-01-13 00:00:00,SONRA ARA
412,836,Aluminium Desing,,6,2023-01-27 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
413,837,Aluminium Desing,,0,2023-02-21,HATIRLATMA VE SORUYA CEVAP VERME
414,838,"M.J.M Aluminium & Glass
",,4,2022-12-23 00:00:00,CEVAP YOK  WP
415,839,"M.J.M Aluminium & Glass
",,5,2022-12-27 00:00:00,CEVAP YOK  WP
416,840,"M.J.M Aluminium & Glass
",,7,2022-12-30 00:00:00,PROJE BEKLENİYOR
417,841,"M.J.M Aluminium & Glass
",,9,2023-01-13 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
418,842,"M.J.M Aluminium & Glass
",,0,2023-02-21,HATIRLATMA VE SORUYA CEVAP VERME
419,843,Aluminium design (By Ibrahim Kassem),,3,2022-12-23 00:00:00,CEVAP YOK  WP
420,844,Aluminium design (By Ibrahim Kassem),,4,2023-01-06 00:00:00,CEVAP YOK  WP
421,845,Aluminium design (By Ibrahim Kassem),,5,2023-01-13 00:00:00,CEVAP YOK  WP
422,846,Aluminium design (By Ibrahim Kassem),,6,2023-01-27 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
423,847,Aluminium design (By Ibrahim Kassem),,0,2023-02-21,HATIRLATMA VE SORUYA CEVAP VERME
424,848,"Daher aluminium
",,3,2022-12-23 00:00:00,CEVAP YOK  WP
425,849,"Daher aluminium
",,4,2023-01-06 00:00:00,CEVAP YOK  WP
426,850,"Daher aluminium
",,5,2023-01-13 00:00:00,CEVAP YOK  WP
427,853,massriforaluminium,,4,2022-12-23 00:00:00,CEVAP YOK  WP
428,854,massriforaluminium,,5,2023-01-13 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
429,855,massriforaluminium,,6,2023-01-27 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
430,875,massriforaluminium,,,wdsg,CEVAP YOK
431,876,massriforaluminium,,,54232263,CEVAP YOK
432,877,massriforaluminium,,,54232263,CEVAP YOK
433,878,massriforaluminium,,,54232263,CEVAP YOK
434,879,massriforaluminium,,,dsf,HATIRLATMA VE SORUYA CEVAP VERME
435,880,massriforaluminium,,,dsf,HATIRLATMA VE SORUYA CEVAP VERME
436,881,massriforaluminium,,,dsf,HATIRLATMA VE SORUYA CEVAP VERME
437,882,massriforaluminium,,,dsf,HATIRLATMA VE SORUYA CEVAP VERME
438,883,massriforaluminium,,,dsf,HATIRLATMA VE SORUYA CEVAP VERME
439,856,"ALGSCO
",,3,2022-12-23 00:00:00,PROJE BEKLENİYOR
440,857,"ALGSCO
",,6,2023-01-13 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
441,858,"ALGSCO
",,7,2023-01-27 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
442,859,"ALGSCO
",,0,2023-02-21 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
443,860,"ALFENA INDUSTRIES
",,4,2022-12-23 00:00:00,CEVAP YOK  WP
444,861,"ALFENA INDUSTRIES
",,5,2023-01-06 00:00:00,CEVAP YOK  WP
445,862,"ALFENA INDUSTRIES
",,6,2023-01-13 00:00:00,İTHALAT YAPAMAZ
446,863,"ALFENA INDUSTRIES
",,0,2023-02-21 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
447,864,"Glassinum Office
",,3,2022-12-23 00:00:00,CEVAP YOK  WP
448,865,"Glassinum Office
",,4,2023-01-06 00:00:00,PROJE BEKLENİYOR
449,866,"Glassinum Office
",,5,2023-01-09 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
450,867,"Glassinum Office
",,6,2023-01-13 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
451,868,"Glassinum Office
",,7,2023-01-27 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
452,869,"Glassinum Office
",,0,2023-02-21,HATIRLATMA VE SORUYA CEVAP VERME
453,870,"Daaboul Engineering sal
",,4,2022-12-23 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
454,871,"Daaboul Engineering sal
",,5,2023-01-06 00:00:00,CEVAP YOK  WP
455,872,"Daaboul Engineering sal
",,6,2023-01-13 00:00:00,CEVAP YOK  WP
456,873,"Daaboul Engineering sal
",,7,2023-01-27 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
457,874,"Daaboul Engineering sal
",,0,2023-02-21,CEVAP YOK  WP
458,884,"Daaboul Engineering sal
",,,mamo,HATIRLATMA VE SORUYA CEVAP VERME
459,885,"Daaboul Engineering sal
",,,mamo,HATIRLATMA VE SORUYA CEVAP VERME
460,886,"Daaboul Engineering sal
",,,mamo,HATIRLATMA VE SORUYA CEVAP VERME
461,887,"Daaboul Engineering sal
",,,mamo,HATIRLATMA VE SORUYA CEVAP VERME
462,888,"Daaboul Engineering sal
",,,mamo,HATIRLATMA VE SORUYA CEVAP VERME
463,889,"Daaboul Engineering sal
",,,ran,HATIRLATMA VE SORUYA CEVAP VERME
